Ax,Ay,Az,time
-7.96,2.39,4.92,3.300323963
-8.42,1.39,4.74,3.331575155
-8.48,1.7,5.12,3.382991314
-8.16,1.91,4.76,3.40524435
-8.33,1.66,4.49,3.43653512
-8.45,1.56,5.08,3.452162266
-1.96,9.36,-3.78,0.293282747
-1.88,9.35,-3.7,0.32448411
-1.51,9.5,-3.55,0.371050596
-1.35,9.09,-3.51,0.40230751
-1.13,9.13,-3.55,0.464851141
-0.95,8.93,-3.8,0.496061325
-0.64,9.05,-3.73,0.527351379
-0.16,9.13,-3.48,0.54297781
0.14,8.75,-3.41,0.574228764
0.34,8.64,-3.18,0.621109962
0.29,8.2,-3.42,0.652374506
0.57,7.9,-3.34,0.683581591
0.78,7.48,-2.87,0.69920969
1.07,6.88,-2.3,0.730462074
1.17,6.93,-2.1,0.761714697
1.19,6.93,-2.38,0.777342081
1.13,6.87,-2.71,0.808595419
1.42,6.78,-2.38,0.839848042
1.88,7.04,-2.02,0.871102571
1.32,6.6,-1.96,0.902355433
1.88,7.43,-2.25,0.933606625
1.66,8.58,-1.64,0.964860678
1.01,8.03,-1.66,0.996118069
1.47,8.22,-1.7,1.037965536
0.97,8.69,-1.39,1.053595543
1.5,10.22,-2.49,1.084920645
3.55,10.38,-1.16,1.131725073
4.47,11.78,-1.43,1.16298008
2.51,9.76,0.85,1.194268227
2.37,11.1,0.58,1.209893703
2.64,12.65,0.75,1.256770134
2.24,13.38,-0.46,1.288026333
1.42,12.34,-0.87,1.319245577
2.2,10.9,1.95,1.334871531
1.06,9.26,2.45,1.366164684
1.28,10.57,0.5,1.397380829
-0.12,11.76,1.63,1.428637028
0.64,8.13,-1.05,1.459884644
-1.53,10.18,-2.87,1.522391558
5.83,10.85,-2.43,1.569276333
6.23,18.54,9.09,1.600524664
-2.42,10.99,-2.12,1.631778479
-0.06,17.68,-0.05,1.663031101
0.01,19.52,-8.86,1.678667545
0.74,10.6,-0.8,1.709912062
-0.4,11.31,1.25,1.741164446
-1.14,10.09,-3.15,1.772418022
-1.31,10.67,0.16,1.803682327
-0.26,9.75,-2.49,1.819298744
0.19,9.77,-0.7,1.850611448
-0.64,9.28,-3.77,1.897460699
-1.73,10.34,-2.19,1.928684473
-1.74,9.1,-4.21,1.944323063
0.67,10.19,-2.45,1.975565672
1.83,10.63,-2.76,2.00681901
-1.08,8.87,-5.72,2.034569263
-1.94,11.11,0.05,2.06586504
-2.85,8.52,-2.98,2.097119808
-2.91,10.61,-5.74,2.128329039
-1.23,8.33,2.29,2.159621
-5.58,8.58,-7.12,2.190874577
-0.95,10.47,-8.17,2.222132206
-6.03,10.86,3.49,2.253383398
-1.43,10.96,-4.31,2.284597874
0.66,5.36,-5.42,2.315888405
-4.79,8.54,-4.35,2.347141504
-7.65,8.75,4.59,2.378411293
-4.75,5.62,0.73,2.409646511
-7.79,7.78,0.57,2.440901995
-6.93,7.7,1.13,2.472118139
-7.96,5.18,1.84,2.503370762
-9.31,6.74,3.29,2.534631014
-7.98,5.95,-1.05,2.565877199
-8.13,4.54,-1.86,2.597166777
-7.48,5.71,3.58,2.628420591
-9.65,4.57,3.61,2.65967226
-8.67,4.48,1.53,2.690890312
-8.69,3.35,1.83,2.722142935
-8.92,3.49,2.67,2.753395796
-8.49,3.12,1.59,2.784687519
-7.77,1.71,2.9,2.81594038
-8.63,1.86,7.44,2.847195148
-9.65,1.48,6.98,2.878447771
-10.91,2.92,2.33,2.909700871
-9.27,1.01,-2.67,2.940916061
-6.09,1.32,4.3,2.972205639
-8.55,2.24,7.26,3.003421783
-9.99,1.93,6.31,3.029983044
-8.62,0.62,5.8,3.061275482
-6.95,1.32,7.16,3.092528105
-7.45,2.64,7.45,3.123785734
-8.6,1.77,4.84,3.170636892
-6.91,2.52,6.69,3.20188117
-7.45,1.85,5.72,3.233132362
-8.23,1.74,4.61,3.264422655
-8.4,2.39,4.36,3.28005147
-8.46,2.48,4.36,3.311303854
-8.75,1.8,4.9,3.342553854
-7.77,1.86,6.31,3.373772383
-7.93,1.86,7.15,3.405023575
-2.16,9.36,-3.99,0.297112703
-2.23,9.21,-3.88,0.328362465
-2.16,9.35,-3.84,0.371857166
-2.08,9.36,-3.9,0.403111696
-2,9.53,-4.04,0.449952602
-1.74,9.8,-3.91,0.48124218
-1.64,9.21,-3.76,0.528101206
-1.24,8.49,-3.52,0.543711662
-0.15,8.47,-3.19,0.575002432
0.83,8.98,-2.78,0.606218338
1.15,9.01,-2.78,0.637516975
1.25,8.96,-3.43,0.668728113
0.84,8.34,-3.46,0.70001483
0.12,7.21,-2.96,0.731231451
0.56,6.17,-2.17,0.762485504
0.6,5.65,-1.6,0.793775558
0.77,6.44,-2.25,0.824991941
0.62,7.93,-3.35,0.856244564
-0.02,8.27,-3.35,0.887535334
0.19,8.13,-3.55,0.918787956
0.66,8.44,-2.89,0.95004487
0.75,8.09,-2.69,0.996886492
0.88,7.99,-2.21,1.028139114
1.53,7.87,-2.43,1.059406757
0.64,9.28,-1.87,1.075053692
1.24,10.09,-2.79,1.106272221
1.8,9.57,-1.88,1.137567759
1.7,8.3,-1.42,1.16882205
1.64,9.4,-0.78,1.184446096
1.27,9.96,-0.68,1.215657473
2.46,10.62,-1.22,1.246911526
2.21,9.66,0.89,1.278216362
1.23,10.59,-0.96,1.309456348
0.83,11.95,-0.75,1.350766182
0.92,11.47,0.4,1.369644165
-0.41,10.46,0.67,1.400867701
-0.21,11.52,0.15,1.432113171
0.84,12.77,3,1.463408709
0.36,13.42,4.25,1.557127714
0.81,13.26,2.93,1.588377953
-1.05,7.32,-4.76,1.619669437
1.33,11.76,-1.25,1.650923014
10.06,10.04,-2.91,1.666547298
7.19,11.33,-6.29,1.69776535
-2.19,14.43,0.01,1.729053736
2.28,18.51,8.46,1.760269403
-1.56,14.07,-4.31,1.77589798
1.11,11.95,-5.65,1.807151556
0.68,10,0.27,1.838445902
-0.61,10.77,-3.11,1.869656801
0.22,10.49,-2.3,1.916537523
-2.4,10.05,-0.37,1.932162523
0.51,8.64,-3.27,1.963457823
-0.82,10.75,-2.43,1.994707346
0.51,10.18,-3.02,2.02592206
0.93,9.15,-4.24,2.057175398
0.97,9.54,-3.55,2.072831154
-1.05,9.31,-4.11,2.104055405
-2.17,10.28,-2.1,2.135351419
0.91,9.6,-4.33,2.166601896
-1.94,9.64,-4.22,2.197853804
-0.93,10.11,-2.78,2.229106188
1.26,8.59,-4.58,2.275951624
-2.01,10.35,-5.41,2.307201862
-1.41,10.51,-3.02,2.322878599
-5.03,9.65,-3.3,2.363802671
-3.04,9.7,-1.71,2.380566835
-6.13,9.91,-2.17,2.411820173
-0.93,8.66,-5.61,2.443073273
-2.85,8.67,-5.67,2.47432971
-7.27,8.99,-4.25,2.50558424
-6.06,9.22,-0.64,2.552499294
-5.63,7.95,-2.91,2.58375001
-6.07,6.73,-4.54,2.615040064
-6.66,6.95,-4.6,2.646259308
-6.6,6.33,-6.4,2.677473068
-6.4,5.53,-4.27,2.708726883
-6.98,5.64,-1.83,2.739982367
-7.8,5.99,-2.17,2.77123642
-8.53,4.95,-3.19,2.802487612
-8.89,4.21,-0.76,2.833778143
-8.41,4.33,1.69,2.865032196
-8.64,3.83,-2.37,2.896282673
-7.92,3.92,-3.14,2.92750144
-6.88,2.96,1.99,2.958753347
-7.22,3.02,6.09,2.990006447
-8.33,2.97,3.25,3.021307707
-9.79,3.14,3.15,3.052514553
-9.54,2.49,1.29,3.083803654
-8.75,0.93,2.04,3.115021229
-7.56,0.86,3.34,3.146273613
-10.24,0.16,5.71,3.177526712
-9.85,1.22,7.71,3.208780527
-10.87,1.28,6.32,3.240049124
-8.45,1.88,3.6,3.255700827
-7.07,3,2.99,3.286916971
-7.77,1.86,5.88,3.318210363
-9.05,1.88,7.13,3.3658638
-8.98,2.24,5.86,3.381490946
-7.86,1.64,4.55,3.412744522
-2.03,9.48,-3.56,0.31022644
-2.06,9.41,-3.62,0.31022644
-1.99,9.32,-3.55,0.341656923
