Ax,Ay,Az,time
-4.86,5.66,5.74,2.973124105
-3.87,6.86,9.52,3.008659453
-4.89,3.93,2.55,3.044194801
-1.95,4.57,9.59,3.079730149
-6.61,5.93,6.89,3.115265497
-6.79,5.17,5.72,3.150800845
-4.33,4.68,9.74,3.186336193
-0.36,3.3,11.28,3.22187154
-5.87,-4.93,12.58,3.257406888
-4.28,2.19,8.89,3.292942236
-4.18,3.66,5.98,3.328477584
-5.34,2.99,6.58,3.364012932
-4.47,2.57,7.83,3.39954828
-4.19,2.78,5.86,3.435083628
-4.95,3.18,6.88,3.470618976
-5.27,4.57,8.2,3.506154323
-4.8,4.27,8.05,3.541689671
-5.12,4.95,7.1,3.577225019
-6.4,4.08,7.21,3.612760367
-7.54,2.96,5,3.648295715
-6.69,1.66,7.3,3.683831063
-6.96,1.55,8.91,3.719366411
-6.87,2.05,7.3,3.754901759
-7.75,0.63,6.4,3.790437106
-5.86,3.15,7.85,3.825972454
-3.45,4.57,8.3,3.861507802
-5.14,2.46,8.28,3.89704315
-5.31,3.15,6.43,3.932578498
-3.29,8.9,-2.49,0.418746368
-3.17,9.19,-2.39,0.454638914
-3.44,9.92,-2.09,0.49053146
-3.39,9.58,-1.95,0.526424006
-2.93,9.59,-2.43,0.562316552
-4.1,8.99,-1.84,0.598209098
-3.79,7.62,-1.73,0.634101643
-4.35,7.04,-1.51,0.669994189
-4.56,5.76,-1.9,0.705886735
-4.42,4.55,-1.94,0.741779281
-4.8,4.01,-0.52,0.777671827
-3.17,3.1,0.19,0.813564373
-3.22,2.57,-0.61,0.849456919
-2.69,3,0.22,0.885349464
-3.21,3.59,0.83,0.92124201
-3.03,5.34,-0.57,0.957134556
-4.1,8.77,0.28,0.993027102
-4.49,11.61,0.35,1.028919648
-3.9,12.11,-0.07,1.064812194
-4.41,13.57,0.83,1.10070474
-5.17,12.73,0,1.136597285
-3.14,14.57,-0.47,1.172489831
-1.88,14.39,0.29,1.208382377
-2.11,11.88,0.45,1.244274923
-1.26,13.9,0.45,1.280167469
-0.99,13.86,-1.45,1.316060015
-2.93,11.41,-1.72,1.351952561
-2.56,10.41,-3.81,1.387845106
1.4,10.98,-3.14,1.423737652
2.84,18.8,11.65,1.459630198
-6.18,9.49,-4.9,1.495522744
-3.6,6.22,-4.38,1.53141529
-5.33,10.94,6.11,1.567307836
-4.88,8,-1.89,1.603200382
-1.19,9.94,-1.6,1.639092927
-4.01,10.1,2.08,1.674985473
-1.88,11.85,-3.06,1.710878019
-2.27,12.02,-2.76,1.746770565
-2.04,10.99,0.47,1.782663111
0.34,8.32,-3.6,1.818555657
-3.8,9.47,-0.38,1.854448202
0.32,9.75,-4.29,1.890340748
-5.41,9.63,-2.84,1.926233294
-6.14,12.33,3.59,1.96212584
2.07,8.41,-6.33,1.998018386
-4.05,10.2,-2.62,2.033910932
-3.24,11.07,1.47,2.069803478
0.09,8.28,-4.84,2.105696023
-4.12,9.42,-0.97,2.141588569
-0.63,8.08,-4.71,2.177481115
-2.66,8.9,-4.48,2.213373661
-6.19,10.23,-1.5,2.249266207
-3.56,8.65,-5.58,2.285158753
-6.5,10.84,-2.89,2.321051299
-1.61,7.16,-1.32,2.356943844
-7.51,8.72,-2.2,2.39283639
-7.81,7.93,-1.83,2.428728936
-0.27,8.6,-2.02,2.464621482
-8.6,6.86,-3.97,2.500514028
-4.45,7.93,1.4,2.536406574
-3.39,8.95,-2.3,2.57229912
-8.65,9.55,0.76,2.608191665
-4.86,6.09,-2.06,2.644084211
-5.04,10.94,-1.05,2.679976757
-9.23,8.67,-2.11,2.715869303
-2.45,8.56,-1.18,2.751761849
-4.75,6.53,4.2,2.787654395
1.19,6.85,6.52,2.823546941
-3.54,5.93,4.01,2.859439486
-3.91,6.22,4.78,2.895332032
-3.35,3.14,10.73,2.931224578
-2.6,1.75,10.4,2.967117124
-10.62,-1.63,-6.56,3.00300967
-3.82,6.75,13.93,3.038902216
-4.37,5.05,12.66,3.074794762
-5.85,5.16,2.36,3.110687307
-4.81,2.22,8.16,3.146579853
-4.87,5.55,9.07,3.182472399
-4.34,5.49,5.59,3.218364945
-6.54,4.43,7.82,3.254257491
-6.01,7.64,9.25,3.290150037
-4.32,3.76,7.5,3.326042583
-5.35,2.33,8.31,3.361935128
-4.38,2.44,8.68,3.397827674
-4.9,2.81,9.64,3.43372022
-4.98,2.28,8.71,3.469612766
-5.3,2.56,7.43,3.505505312
-4.27,2.51,9.01,3.541397858
-4.47,2.57,8.5,3.577290404
-4.94,2.45,8.05,3.613182949
-4.53,2.49,8.4,3.649075495
-4.3,2.6,8.96,3.684968041
-4.51,2.54,8.53,3.720860587
-4.76,2.44,8.16,3.756753133
-4.54,2.65,8.52,3.792645679
-4.5,2.7,8.58,3.828538225
-4.76,2.41,8.3,3.86443077
-4.68,2.65,8.29,3.900323316
-4.64,2.52,8.36,3.936215862
-4.64,2.59,8.32,3.972108408
-2.99,9.01,-2.33,0.416417487
-3.4,8.89,-2.3,0.452110414
-3.15,9.2,-2.07,0.487803342
-3.23,9.44,-1.92,0.523496269
-3.38,9.7,-1.58,0.559189197
-2.96,9.31,-1.27,0.594882124
-3.2,8.7,-1.2,0.630575051
-3.14,7.76,-0.87,0.666267979
-2.46,6.63,-1.47,0.701960906
-3.1,5.69,-0.93,0.737653834
-2.51,4.76,-0.07,0.773346761
-2.14,4.11,-0.17,0.809039689
-3.33,5.4,-0.09,0.844732616
-2.81,5.44,-0.73,0.880425544
-3.29,7.33,-1.5,0.916118471
-4.08,7.67,-1.23,0.951811398
-3.22,8.01,-0.79,0.987504326
-3.7,8.79,-0.49,1.023197253
-3.34,9.63,-0.79,1.058890181
-3.24,10.2,-0.43,1.094583108
-4.3,10.53,-0.15,1.130276036
-3.68,11.48,1.61,1.165968963
-4.11,12.13,1.8,1.201661891
-4.44,12.09,0.6,1.237354818
-3.82,12.39,2.1,1.273047745
-3.54,12.07,2.23,1.308740673
-3.09,11.36,2.68,1.3444336
-1.8,12.78,4.36,1.380126528
-2.19,11.98,4.82,1.415819455
-1.28,10.78,2.48,1.451512383
-0.97,10.21,3.25,1.48720531
-1.72,8.78,0.12,1.522898237
-1.98,7.77,-5.59,1.558591165
5.73,20.08,-1.87,1.594284092
4.33,12.46,15.15,1.62997702
2.16,10.85,5.5,1.665669947
-2.59,8.36,4.06,1.701362875
-1.62,7.99,3.06,1.737055802
1.41,8.62,2.88,1.77274873
-3.6,9.3,3.37,1.808441657
-1.24,10.05,3.61,1.844134584
-2.43,11.59,5.75,1.879827512
-1.58,11.03,3.86,1.915520439
-1.18,8.82,4.18,1.951213367
-2.38,9.07,3.26,1.986906294
-1.55,9.02,3.05,2.022599222
-1.58,9.33,2.16,2.058292149
-1.19,8.2,3.92,2.093985077
-4.78,10.78,3.8,2.129678004
-4.92,9.43,3.45,2.165370931
-2.07,8.69,2.51,2.201063859
-3.28,8.63,3.39,2.236756786
-3.64,9.13,4.8,2.272449714
-1.53,9.28,4.25,2.308142641
-4.35,8.79,4.91,2.343835569
-4.16,8.39,2.56,2.379528496
-3.91,9.04,3.36,2.415221424
-5.13,9.09,2.51,2.450914351
-4.32,8.94,4.69,2.486607278
-2.58,9.14,6.14,2.522300206
-4.59,8.65,5.07,2.557993133
-4.33,9.39,5.66,2.593686061
-5.09,8.86,5.1,2.629378988
-5.35,7.8,5.3,2.665071916
-3.21,9.37,6.66,2.700764843
-5.83,7.86,4.79,2.73645777
-5.12,6.39,3.96,2.772150698
-4.01,8.53,6.79,2.807843625
-4.08,7.44,6.3,2.843536553
-4.09,6.92,6.7,2.87922948
-2.87,3.55,13.19,2.914922408
-0.81,5.19,11.99,2.950615335
0.02,7.21,8.92,2.986308263
-2.28,8.58,6.68,3.02200119
-3.66,5.19,5.65,3.057694117
-3.03,2.27,7.86,3.093387045
-4.06,3,9.64,3.129079972
-3.51,-0.19,7.66,3.1647729
-5.22,1.83,8.22,3.200465827
-3.91,1.34,9.45,3.236158755
-4.68,1.74,7.22,3.271851682
-4.22,2.14,4.68,3.30754461
-4.93,2.37,6.73,3.343237537
-5.34,5.05,8.73,3.378930464
-5,5.78,10.66,3.414623392
-4.42,5.28,9.14,3.450316319
-5.76,4.35,4.9,3.486009247
-6.24,1.75,5.97,3.521702174
-5.94,2.32,8.11,3.557395102
-4.36,2,10.18,3.593088029
-5.24,2.32,8.46,3.628780957
-5.52,2.25,7.3,3.664473884
-5.24,2.45,8.27,3.700166811
-5.17,2.33,8.22,3.735859739
-5.16,2.35,8.16,3.771552666
-5.26,2.33,8,3.807245594
-5.27,2.3,8.14,3.842938521
-5.2,2.43,8.22,3.878631449
-5.38,2.29,7.87,3.914324376
-5.33,2.39,8.06,3.950017303
-2.7,8.24,-2.43,0.411923064
-2.67,8.93,-2.59,0.447230755
-2.57,9.13,-2.84,0.482538446
-2.42,8.45,-1.59,0.517846137
-2.2,7.46,-1.45,0.553153828
-2.39,6.53,-1.43,0.58846152
-2.14,5.39,-1.35,0.623769211
-1.99,5.06,-1.38,0.659076902
-2.45,5.08,-0.66,0.694384593
-1.97,5.57,-0.76,0.729692284
-2.6,5.86,-0.32,0.764999976
-2.82,7.5,-1.53,0.800307667
-2.63,8.36,-2.1,0.835615358
-2.59,8.93,-1.28,0.870923049
-2.89,10.73,-1.07,0.90623074
-2.4,10.57,-1.85,0.941538431
-2.49,10.09,-0.64,0.976846123
-2.9,9.88,-0.55,1.012153814
-2.39,10.71,0.95,1.047461505
-2.75,12.57,1.42,1.082769196
-3.27,12.78,-0.44,1.118076887
-2.89,13.75,1.3,1.153384578
-2.93,13.39,1.58,1.18869227
-2.44,12.93,2.93,1.223999961
-1.88,13.61,4.71,1.259307652
-1.95,12.69,2.67,1.294615343
-1.72,10.99,3.28,1.329923034
-1.07,10.15,-1.28,1.365230726
2.46,10.54,-6.39,1.400538417
1.04,13.18,1.13,1.435846108
-1.04,12.12,7.08,1.471153799
-0.37,8.56,5.55,1.50646149
-3.47,8.89,6.61,1.541769181
-1.09,9.92,3.72,1.577076873
-1.11,10.9,4.36,1.612384564
-1.34,9.61,4.83,1.647692255
-3.11,11.89,4.53,1.682999946
-2.87,10.38,3.97,1.718307637
-2.49,8.61,5.46,1.753615329
-2.37,9.57,3.52,1.78892302
-2.44,9.07,4.17,1.824230711
-1.96,10.05,2.65,1.859538402
-2.95,8.79,3.41,1.894846093
-1.08,8.78,3.41,1.930153784
-3.07,9.06,2.96,1.965461476
-3.28,8.91,2.59,2.000769167
-3.78,8.43,3.61,2.036076858
-3.89,9.15,3.63,2.071384549
-4.3,8.63,2.32,2.10669224
-4.64,8.47,4.02,2.141999931
-3.11,8.81,2.35,2.177307623
-4.59,8.67,3.28,2.212615314
-4.11,8.87,4.21,2.247923005
-3.37,8.05,3.14,2.283230696
-2.71,8.21,5.21,2.318538387
-4.06,7.99,3.78,2.353846079
-3.32,7.48,3.19,2.38915377
-4.8,7.85,4.7,2.424461461
-4.46,8.46,3.98,2.459769152
-3.13,6.64,3.86,2.495076843
-4.15,7.88,4.42,2.530384534
-4.87,8.18,4.16,2.565692226
-4.89,8.09,4.86,2.600999917
-2.81,6.99,5.1,2.636307608
-5.71,7.33,4.08,2.671615299
-4.76,7.67,6.97,2.70692299
-5.29,7.09,4.53,2.742230682
-4.68,7.54,6.75,2.777538373
-4.26,6.38,5.73,2.812846064
-2.58,6.58,8.13,2.848153755
-4.83,5.47,6.89,2.883461446
-1.98,5.24,8.2,2.918769137
-4.27,5.12,11.75,2.954076829
-0.06,5.6,10.71,2.98938452
1.13,4.61,10.54,3.024692211
-4.7,4.52,8.29,3.059999902
-3.7,3.08,5.95,3.095307593
-4.29,2.83,8.39,3.130615284
-2.69,1.59,7.25,3.165922976
-1.01,3.06,7.81,3.201230667
-0.1,5.4,8.26,3.236538358
-3.65,3.82,11.26,3.271846049
-5.64,3.99,10.2,3.30715374
-6.25,5.17,6.49,3.342461432
-5.99,3.38,4.04,3.377769123
-6.62,4.49,3.94,3.413076814
-5.03,2.36,7.46,3.448384505
-5.48,2.52,9.84,3.483692196
-5.03,2.54,8.82,3.518999887
