		Ax		Ay		Az
1.479787826538086		0.65		11.62		0.13
1.5423057079315186		1.31		11.82		1.77
1.573547601699829		3.28		13.35		2.11
1.6048004627227783		5.64		11.79		2.68
1.6360538005828857		5.99		9.16		2.94
1.667337417602539		2.99		11.59		-4.12
1.6829338073730469		1.60		6.40		-9.48
1.7142107486724854		2.27		11.41		-0.31
1.7454633712768555		-2.73		13.91		-0.14
1.776721715927124		4.33		15.45		2.97
1.7923610210418701		1.67		14.26		-0.85
1.8235740661621094		1.78		13.49		-6.37
1.8548285961151123		-0.51		9.69		-1.57
1.8861148357391357		-1.64		10.72		0.37
1.9017081260681152		2.93		9.74		-5.28
1.9486103057861328		-0.61		10.34		-0.94
1.9798657894134521		-0.06		8.90		-1.51
2.0111172199249268		-0.94		9.97		-3.26
2.0423808097839355		-0.71		9.94		-1.89
2.0736241340637207		-1.58		8.64		-4.01
2.104853868484497		-0.22		10.79		-1.85
2.1361067295074463		-2.12		9.73		-2.83
2.1673953533172607		-3.05		9.14		-3.11
2.198643445968628		0.00		10.14		-3.97
2.214276075363159		0.41		10.13		-4.33
2.261129140853882		-0.94		10.15		-5.86
2.2890594005584717		-5.30		9.91		-1.10
2.335981607437134		-5.43		9.88		-2.49
2.3671951293945312		-1.29		9.59		-6.60
2.398483991622925		-3.77		9.95		-2.81
2.414113759994507		-4.88		8.96		-1.53
2.445344924926758		-6.03		7.64		-2.02
2.476581573486328		-6.75		8.53		-1.51
2.507835865020752		-4.62		6.86		-5.33
2.539090871810913		-5.25		6.49		-4.71
2.570343017578125		-7.07		7.95		-4.21
2.601600408554077		-7.33		7.27		-3.45
2.648510217666626		-7.15		6.61		-2.41
2.6797635555267334		-9.13		6.73		-1.60
2.7110164165496826		-7.41		5.01		-5.26
2.7422728538513184		-6.09		3.77		-5.22
2.77349591255188		-6.86		4.14		-1.27
2.8047823905944824		-9.00		4.66		-1.43
2.820383071899414		-8.73		4.12		0.75
2.85162091255188		-9.86		3.28		-1.26
2.8985397815704346		-10.80		2.67		-2.25
2.9297547340393066		-9.53		1.45		-3.33
2.961043357849121		-9.59		-0.14		-1.70
2.9923043251037598		-7.19		-0.03		0.92
3.0235133171081543		-9.10		-1.13		0.76
3.0547685623168945		-10.43		-2.39		0.28
3.08602237701416		-10.25		-0.71		-0.48
3.117312431335449		-10.21		-0.69		0.20
3.148528575897217		-9.43		-0.72		1.31
3.1797823905944824		-8.94		0.26		2.07
3.2110352516174316		-8.83		0.49		2.37
3.242302179336548		-9.35		0.67		2.85
3.27354097366333		-9.42		0.06		-0.27
3.316274881362915		-9.79		-0.11		-0.66
3.3474934101104736		-8.47		2.30		3.50
3.363158702850342		-9.54		2.76		7.28
3.394411325454712		-11.98		2.53		5.71
3.425626516342163		-10.85		1.77		3.67
3.4568777084350586		-8.45		2.21		3.93
3.4881317615509033		-8.39		1.56		4.03
3.5350136756896973		-8.77		1.35		3.93
3.58189058303833		-9.21		1.55		3.57
3.6131439208984375		-9.58		1.23		3.64
3.644399404525757		-9.50		1.15		3.28
3.6912801265716553		-9.28		0.94		2.97
3.722531795501709		-9.27		0.73		2.83
3.76941180229187		-9.55		0.27		2.47
3.800663709640503		-9.64		0.51		2.12
3.8319191932678223		-9.69		1.22		1.89
3.863173484802246		-9.87		1.00		1.50
3.8944263458251953		-9.76		0.75		2.03
3.925679922103882		-9.54		0.60		2.42
3.941351890563965		-9.52		0.92		2.45
3.972595453262329		-9.68		1.12		2.48
4.003846883773804		-9.63		1.20		2.52
4.035065412521362		-9.58		1.16		2.51
4.066318035125732		-9.36		0.98		2.25
4.081944227218628		-9.61		1.02		2.71
4.113198518753052		-9.76		1.05		2.76
4.144486427307129		-9.90		0.67		2.37
